dummy,dummy,2015,2016,2017,2018,2019,2020,2021
GEO,KM_VEH_TRUCK,  16978.400,  16978.400,  17689.600,  17757.200,  17401.000,  19470.400,  19295.600
GGY,KM_VEH,  23442.182,  23442.182,  23603.182,  24009.955,  24291.136,  22478.227,  24391.955
GGY,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GGY,KM_VEH_TRUCK, 119303.050, 119303.050, 120383.600, 121014.000, 121706.800, 103539.550, 110689.850
GHA,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
GHA,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GHA,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
GIB,KM_VEH,  23442.182,  23442.182,  23603.182,  24009.955,  24291.136,  22478.227,  24391.955
GIB,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GIB,KM_VEH_TRUCK, 119303.050, 119303.050, 120383.600, 121014.000, 121706.800, 103539.550, 110689.850
GIN,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
GIN,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GIN,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
GLP,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
GLP,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GLP,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
GMB,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
GMB,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GMB,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
GNB,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
GNB,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GNB,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
GNQ,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
GNQ,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GNQ,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
GRC,KM_VEH,  23442.182,  23442.182,  23603.182,  24009.955,  24291.136,  22478.227,  24391.955
GRC,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GRC,KM_VEH_TRUCK, 119303.050, 119303.050, 120383.600, 121014.000, 121706.800, 103539.550, 110689.850
GRD,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
GRD,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GRD,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
GRL,KM_VEH,  23159.200,  23159.200,  25369.200,  23340.200,  23508.400,  24268.200,  25916.000
GRL,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GRL,KM_VEH_TRUCK,  48928.800,  48928.800,  51114.600,  53983.000,  53166.600,  50912.200,  54989.400
GTM,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
GTM,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GTM,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
GUF,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
GUF,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GUF,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
GUM,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
